"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.051350000E0,1.041339523E1,-6.289920044E-1,-3.503314819E0
6.071252000E0,7.148384857E0,2.269281006E-1,-1.757644958E0
6.091154000E0,1.003228775E1,-4.828958130E-1,-3.124452667E0
6.111055000E0,6.625971222E0,-2.980302429E-1,-1.877395935E0
6.130957000E0,9.599088593E0,-7.204518127E-1,-2.849923553E0
6.150859000E0,8.770262146E0,-6.152206421E-2,-2.030677185E0
6.170760000E0,1.168170776E1,-4.483177185E-1,-1.857637024E0
6.190662000E0,9.405391388E0,-4.622387695E-1,-2.558629303E0
6.210564000E0,8.469687195E0,7.454498291E-1,-1.772613831E0
6.230465000E0,1.026116180E1,-5.634283447E-1,-2.431693268E0
6.250367000E0,7.690258026E0,-5.005590820E-1,-2.101629639E0
6.270269000E0,1.253283783E1,2.329156494E-1,-1.587149506E0
6.290170000E0,8.421337738E0,-4.270619202E-1,-1.625619507E0
6.310072000E0,1.099164276E1,-5.450166321E-1,-1.638343048E0
6.329974000E0,9.943971405E0,4.340972900E-2,-1.972597961E0
6.349875000E0,9.353000336E0,1.498384094E-1,-1.766476593E0
6.369777000E0,1.123847946E1,-1.736389160E-2,-1.525328064E0
6.389679000E0,9.945318604E0,2.746788025E-1,-2.475102997E0
6.409581000E0,8.804241486E0,1.097218323E-1,-1.658850403E0
6.429482000E0,1.021820114E1,-3.896397400E-1,-2.996319122E0
6.449384000E0,9.477391663E0,-1.546284485E-1,-2.241738281E0
6.469286000E0,8.816815338E0,-5.731581116E-1,-1.899400177E0
6.489187000E0,1.015637970E1,-2.341131592E-1,-2.513423309E0
6.509089000E0,8.182434540E0,-3.561094666E-1,-2.438728638E0
6.528991000E0,8.472231903E0,-6.703060913E-1,-2.416874084E0
6.548892000E0,1.103580093E1,-1.417552185E-1,-2.638862457E0
6.568794000E0,9.439071350E0,3.951782227E-2,-2.209405518E0
6.588696000E0,8.998238068E0,1.574725342E-1,-1.309177551E0
6.608597000E0,9.350755005E0,-1.570234680E-1,-2.451452179E0
6.628499000E0,7.865693207E0,4.944218445E-1,-2.096091156E0
6.648401000E0,8.528963928E0,-6.146218872E-1,-2.239343262E0
6.668302000E0,1.115989288E1,5.403762817E-1,-1.104702759E0
6.688204000E0,9.863438873E0,1.344204712E-1,-2.113455048E0
6.708105375E0,8.992849274E0,-4.210743713E-1,-9.369017029E-1
6.728006375E0,1.106858276E1,1.197509766E-1,-2.098486176E0
6.747908375E0,9.828561401E0,7.259902954E-2,-1.033750305E0
6.767810375E0,9.750872955E0,8.637039185E-2,-2.007176056E0
6.787711375E0,9.738448792E0,-2.851570129E-1,-1.872905273E0
6.807613375E0,9.991422729E0,5.146298218E-1,-1.024020538E0
6.827515375E0,9.759854279E0,1.562750244E-1,7.828720093E-2
6.847416375E0,1.153351593E1,5.508544922E-2,-2.544708252E-1
6.867318375E0,1.106933121E1,-4.460723877E-2,-6.300398254E-1
6.887220375E0,9.730515289E0,-2.092648315E-1,-3.323089600E-1
6.907121375E0,1.061966629E1,2.700384521E-1,2.450404358E-1
6.927023375E0,1.066696793E1,-1.706451416E-2,-9.280700684E-2
6.946925375E0,1.039977356E1,-3.531156921E-1,-2.042801971E0
6.966826375E0,9.271869049E0,2.853067017E-1,-1.418450317E0
6.986728375E0,9.117390289E0,2.853067017E-1,-1.031654663E0
7.006630375E0,8.806786194E0,4.581971741E-1,-3.420387268E-1
7.026531375E0,9.891280975E0,2.650987244E-1,-1.669478302E0
7.046433375E0,9.192983093E0,4.071533203E-2,-9.201365662E-1
7.066335375E0,9.281898193E0,4.073030090E-1,-1.530118103E0
7.086236375E0,8.658145294E0,-2.424957275E-1,-1.031804352E0
7.106138375E0,9.334888000E0,4.908293152E-1,-1.666933594E0
7.126040375E0,9.686506805E0,-6.227050781E-2,-1.710942078E0
7.145941375E0,9.905950470E0,3.707789612E-1,-1.017284546E0
7.165843375E0,9.534572754E0,4.670288086E-2,-8.623567200E-1
7.185745375E0,1.043090881E1,-7.694000244E-2,-1.355581055E0
7.205646375E0,1.177646072E1,3.918850708E-1,-1.201850739E0
7.225548375E0,1.119686600E1,-2.869532776E-1,-1.376088409E0
7.245450375E0,1.164727936E1,3.881428528E-1,-7.773335266E-1
7.265351375E0,1.185624481E1,1.633103943E-1,-1.301842804E0
7.285253375E0,1.057206528E1,9.849517822E-2,-2.132465515E0
7.305155375E0,1.048240173E1,-4.661306763E-1,-1.416953430E0
7.325056375E0,1.045830185E1,1.061293030E0,-1.493594055E0
7.344958375E0,9.531129913E0,2.082170105E-1,-1.430126038E0
7.364860375E0,8.338709564E0,5.742059326E-1,-7.487429810E-1
7.384761375E0,7.691305847E0,2.606080627E-1,-8.056246948E-1
7.404663375E0,1.051712952E1,2.933898926E-1,-1.013242950E0
7.424565375E0,1.009276199E1,-2.469863892E-1,-1.388213196E0
7.444466375E0,1.038929535E1,-4.939727783E-2,-1.446891174E0
7.464368375E0,8.954678650E0,2.634521484E-2,-3.623963928E-1
7.484270375E0,9.406588898E0,8.083190918E-2,-2.868035889E-1
7.504171375E0,1.062550415E1,2.598596191E-1,-4.981640625E-1
7.524073375E0,1.164323776E1,-1.478924561E-1,-2.488125916E0
7.543975375E0,9.446256409E0,3.906875610E-1,-9.289682007E-1
7.563876375E0,9.059311066E0,6.303392029E-1,-1.773811340E-1
7.583778375E0,1.092368408E1,4.198768616E-1,-8.684939575E-1
7.603680375E0,1.180115936E1,5.972579956E-2,-1.965861969E0
7.623581375E0,1.132050888E1,6.289920044E-1,-2.222129059E0
7.643483375E0,1.130254623E1,-3.079096985E-1,-2.826123047E0
7.663385375E0,1.078537170E1,1.025068359E0,-1.491947479E0
7.683286375E0,8.165220337E0,-2.203417969E-1,-1.631756744E0
7.703188375E0,8.086933136E0,8.637039185E-2,-1.423839111E0
7.723090750E0,6.953939209E0,3.906875610E-2,-1.293609924E0
7.742991750E0,9.369466095E0,1.821711731E-1,-9.608518982E-1
7.762893750E0,8.101602631E0,1.736389160E-1,-1.541195068E0
7.782794750E0,7.924969940E0,1.260379028E-1,-2.719844055E-1
7.802696750E0,8.111332397E0,5.917195129E-1,-1.481618958E0
7.822598750E0,9.857900391E0,-1.210981750E-1,-1.209634552E0
7.842499750E0,8.594677277E0,5.352868652E-1,-2.214944000E0
