"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.788567934E0,-1.337587833E0,-3.436691463E-1,1.133091259E1
5.808261423E0,-1.821536183E0,-6.945167780E-1,9.119944572E0
5.827963663E0,-2.676671267E0,-3.412763178E-1,7.480262756E0
5.847688455E0,-1.868196249E0,-6.382854581E-1,1.013210869E1
5.867365225E0,-1.020239711E0,-9.209375978E-1,9.579964638E0
5.887065590E0,-5.662016869E-1,-4.692923427E-1,1.030558777E1
5.906802569E0,-1.028614640E0,-6.945167780E-1,1.098365402E1
5.926500955E0,-1.063310504E0,-2.177468538E-1,7.144968510E0
5.946202673E0,5.344967842E-1,-7.537391037E-2,8.620442390E0
5.965930590E0,-7.950153351E-1,-8.614161611E-2,8.804988861E0
5.985626267E0,-3.128316402E0,-8.144569993E-1,1.347966766E1
6.005347048E0,-2.840878725E0,-8.922237158E-1,1.055234814E1
6.025039705E0,-3.165405273E0,2.991028305E-4,7.093223572E0
6.044725017E0,-3.275475025E0,6.490531564E-2,1.119332504E1
6.064453715E0,-1.625025630E0,-6.801598072E-1,1.095135117E1
6.084122517E0,-5.937191248E-1,-9.604191780E-1,9.899705887E0
6.103800382E0,-1.374676585E0,-7.962117195E-1,1.202333546E1
6.123535642E0,-2.156830549E0,-7.040880919E-1,1.221506023E1
6.143266215E0,-1.369890928E0,-8.790631890E-1,1.033340454E1
6.162945850E0,-8.584251404E-1,-2.392822653E-1,7.502994537E0
6.182647309E0,-2.558226585E0,-1.627119333E-1,1.041595650E1
6.202364392E0,-2.134098768E0,-1.074377418E0,9.528518677E0
6.222058715E0,-2.280359983E0,-7.100701332E-1,7.899305820E0
6.241773090E0,-1.101595759E0,-2.524427772E-1,1.064955616E1
6.261469548E0,-1.753340840E0,-1.854437590E-1,9.427721024E0
6.281175903E0,-7.304090858E-1,-1.064806059E-1,7.034599304E0
6.300881736E0,-8.165507317E-1,-8.730811477E-1,7.357929707E0
6.320598611E0,-1.151844978E0,-6.969096065E-1,8.147261620E0
6.340285590E0,-1.651346684E0,-8.718847632E-1,8.050353050E0
6.359989913E0,-4.968098104E-1,-1.252642632E0,1.110449123E1
6.379713403E0,-2.160419703E0,-1.080359459E0,9.482755661E0
6.399396007E0,-2.379662037E0,-4.920241535E-1,7.419245720E0
6.419100121E0,-3.098705411E-1,-7.339983582E-1,7.831110477E0
6.438812778E0,-2.608176768E-1,-1.319641709E0,1.031157017E1
6.458504340E0,-2.311466694E0,-8.036893010E-1,1.105902767E1
6.478211111E0,-1.801197290E0,-9.843474030E-1,7.759325504E0
6.497939288E0,-1.257428288E0,-1.219143152E0,1.096451187E1
6.517618663E0,-8.979067206E-1,-6.849454641E-1,9.014659882E0
6.537327621E0,-1.023828983E0,5.341976285E-1,9.899705887E0
6.557041475E0,-8.632107973E-1,-4.704887569E-1,1.058614635E1
6.576731840E0,-2.205883265E0,-1.839482427E0,9.463613510E0
6.596442413E0,-1.663310885E0,-1.636092424E0,1.132373428E1
6.616140069E0,-2.627618313E0,-6.239284873E-1,5.565107346E0
6.635856319E0,-3.074178934E0,7.031907439E-1,1.163749313E1
6.655565382E0,-2.553440809E0,-1.905584097E0,1.099322510E1
6.675285382E0,-4.150051594E0,-1.575972795E0,9.278169632E0
6.694967830E0,3.093022346E0,-2.705684185E0,1.247139168E1
6.714686267E0,-8.189435601E-1,-9.628120065E-1,6.913762093E0
6.734367205E0,-6.897311211E-1,1.318744421E0,1.115743256E1
6.754066892E0,-1.283749342E0,6.122635007E-1,9.770194054E0
6.773769757E0,2.159522474E-1,-9.891330600E-1,1.084337521E1
6.793475486E0,-1.761715651E0,-1.864607096E0,1.031396294E1
6.813186788E0,-1.890329868E-1,-1.117448211E0,8.558229446E0
6.832918975E0,-2.791526794E0,-2.838485837E-1,1.107817078E1
6.852598403E0,-5.985047817E-1,7.498508096E-1,1.453490162E1
6.872317986E0,-1.329213023E0,7.331010103E-1,9.176176071E0
6.891998871E0,-8.476574421E-1,-1.686939895E-1,9.222835541E0
6.911712465E0,-7.627122402E-1,-6.035895348E-1,8.141280174E0
6.931411528E0,-1.204786181E0,-2.111366987E0,1.074766159E1
6.951114132E0,-4.917549610E0,1.187438220E-1,1.183280754E1
6.970815382E0,-1.678864241E0,-2.814557552E-1,8.125726700E0
6.990533090E0,-6.981059909E-1,5.667998791E-1,5.664409637E0
7.010225486E0,-1.493420482E0,9.284151793E-1,8.409575462E0
7.029928819E0,-2.658725023E0,-1.512562990E0,1.342822170E1
7.049625017E0,-1.520937920E0,-1.426421404E0,7.414460182E0
7.069362100E0,-1.609472275E0,-7.304090858E-1,9.127122879E0
7.089051736E0,-2.301895380E0,1.677966863E-1,5.382953644E0
7.108757569E0,-2.641975403E0,-7.830511928E-1,1.238255787E1
7.128474965E0,-1.706381679E0,-7.710871100E-1,9.186943054E0
7.148171736E0,-2.328216314E0,-6.801598072E-1,7.457530975E0
7.167893090E0,-1.491027594E0,-7.986045480E-1,6.021239281E0
7.187572830E0,2.937189937E-1,8.644071966E-2,8.681459427E0
7.207267205E0,3.253341436E0,2.096112728E0,1.125075340E1
7.226999132E0,-7.096513748E0,-9.939187169E-1,3.095415115E0
7.246703246E0,-1.605195236E1,-2.531905413E0,2.187339067E0
7.266382986E0,1.445354652E1,-3.848257065E0,2.717229652E1
7.286089653E0,-8.057830334E-1,-3.136691332E0,7.274180651E-1
7.305793871E0,-1.887338877E0,1.454237938E0,9.630213737E0
7.325483142E0,-3.794119358E0,-3.352942765E-1,9.412167549E0
7.345194496E0,-2.196312189E0,-2.021636009E0,5.811867237E0
7.364910486E0,-1.720738530E0,-1.715055585E0,7.031010151E0
7.384631215E0,-8.189435601E-1,8.024929166E-1,7.027420998E0
7.404311371E0,-2.142473459E0,4.193421602E-1,1.737727547E1
7.424024132E0,-5.642275810E0,-4.086641788E0,1.464646721E1
7.443739496E0,-2.795115948E0,1.199402362E-1,1.095733356E1
7.463425955E0,-3.627818346E0,-2.132902384E0,8.440681458E0
7.483135121E0,-2.922234535E0,3.018545866E0,1.158843994E1
7.502839965E0,-2.396411896E0,-1.558026671E0,8.679066658E0
7.522541111E0,-2.208276272E0,-2.417049885E0,1.215613747E1
7.542247569E0,1.345962752E-2,-2.297109663E-1,1.084457111E1
7.561928142E0,1.704586983E0,-3.217149973E0,7.424031258E0
7.581651580E0,3.803092480E0,7.043871880E-1,1.332532978E1
7.601356840E0,4.351646900E0,-4.215854168E0,8.638089895E-1
7.621086632E0,-6.072385788E0,-6.524031162E0,-1.186540961E0
7.640771007E0,-1.150768185E1,2.849552631E0,7.289734364E0
7.660450069E0,-8.580363274E0,-2.694916487E0,9.003892899E0
7.680175069E0,2.807678223E0,8.253742218E0,1.389302731E1
7.699878559E0,1.155015469E1,3.152543902E-1,1.455165195E1
7.719587465E0,-4.671986103E0,-4.494917393E0,-5.161916733E0
7.739291892E0,-4.970490932E0,2.940479994E0,1.896670914E1
7.758985069E0,-2.275574446E0,-8.395816684E-1,-2.567797899E0
7.778675330E0,-6.753742099E-1,-2.181057930E0,1.310489178E1
7.798400798E0,-4.980062246E-1,1.980060697E0,1.603699684E1
7.818104236E0,-4.597210586E-1,-2.122134686E0,1.262453270E1
7.837801528E0,-4.812564552E-1,-3.496512175E-1,1.279711437E1
7.857498038E0,3.619144112E-2,1.004985452E0,1.254317665E1
7.877199965E0,-3.122633696E-1,-7.088736892E-1,1.934268188E1
7.896898455E0,5.368895531E-1,7.881359458E-1,5.268098354E0
