"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.813442648E1,1.687396791E1,7.362313595E1,1.783480702E2,3.950000048E0,3.477000122E2,3.790092468E0,3.153941870E0
7.913547372E1,1.687400314E1,7.362313007E1,1.794844909E2,3.880000114E0,3.498999939E2,3.790092468E0,3.210310936E0
8.013297455E1,1.687403141E1,7.362312632E1,1.802859129E2,2.940000057E0,3.516000061E2,3.790092468E0,3.010790825E0
8.113273810E1,1.687406097E1,7.362312546E1,1.798499664E2,3.170000076E0,3.575000000E2,3.790092468E0,2.985625267E0
8.213355414E1,1.687409451E1,7.362312755E1,1.796730420E2,3.619999886E0,5.300000191E0,3.790092468E0,3.043749809E0
8.313327398E1,1.687412515E1,7.362313211E1,1.806181374E2,2.859999895E0,1.069999981E1,3.790092468E0,2.971714020E0
8.413382018E1,1.687415537E1,7.362313686E1,1.811372087E2,3.170000076E0,1.800000000E1,3.790092468E0,2.986637592E0
8.513457059E1,1.687418418E1,7.362314558E1,1.812015136E2,3.190000057E0,2.489999962E1,3.790092468E0,3.005167723E0
8.613433117E1,1.687420490E1,7.362315590E1,1.811938846E2,2.400000095E0,3.429999924E1,3.790092468E0,2.914727688E0
8.713470882E1,1.687422858E1,7.362317199E1,1.805585025E2,3.250000000E0,3.600000000E1,3.790092468E0,2.810383797E0
8.813416804E1,1.687425161E1,7.362318953E1,1.791091583E2,3.279999971E0,4.629999924E1,3.790092468E0,2.706631422E0
8.913471658E1,1.687427272E1,7.362321200E1,1.780650352E2,3.480000019E0,5.150000000E1,3.790092468E0,2.809057474E0
9.013465486E1,1.687429365E1,7.362324148E1,1.777018853E2,3.910000086E0,5.350000000E1,3.790092468E0,2.837834597E0
9.113390882E1,1.687431416E1,7.362327117E1,1.777992471E2,3.779999971E0,5.509999847E1,3.888137341E0,2.958083153E0
9.213477955E1,1.687433791E1,7.362330344E1,1.784019711E2,4.469999790E0,5.129999924E1,3.790092468E0,3.029129744E0
9.313442403E1,1.687435760E1,7.362333289E1,1.780986396E2,4.030000210E0,5.009999847E1,3.887597084E0,3.098984718E0
9.413560939E1,1.687437828E1,7.362336689E1,1.777882882E2,4.260000229E0,5.190000153E1,4.030385971E0,3.228403807E0
9.513460330E1,1.687439737E1,7.362339604E1,1.780441626E2,3.680000067E0,5.150000000E1,3.790092468E0,2.994262457E0
9.613613929E1,1.687442297E1,7.362342275E1,1.771773344E2,4.170000076E0,4.140000153E1,3.790092468E0,2.833832502E0
9.713524647E1,1.687445606E1,7.362344803E1,1.770280720E2,4.119999886E0,3.379999924E1,3.790092468E0,2.827511787E0
9.813512387E1,1.687449039E1,7.362347565E1,1.774893415E2,4.309999943E0,3.550000000E1,3.790092468E0,2.817735195E0
9.913447194E1,1.687452187E1,7.362350635E1,1.773099967E2,3.819999933E0,3.879999924E1,3.790092468E0,2.960638523E0
1.001330211E2,1.687455127E1,7.362353284E1,1.771894942E2,3.839999914E0,3.629999924E1,3.790092468E0,2.952845573E0
1.011343004E2,1.687457488E1,7.362355337E1,1.762461311E2,2.990000010E0,4.109999847E1,3.790092468E0,2.909985065E0
1.021365320E2,1.687460087E1,7.362357802E1,1.753514076E2,3.730000019E0,4.570000076E1,3.790092468E0,3.097840786E0
1.031442250E2,1.687462248E1,7.362359972E1,1.748945627E2,3.180000067E0,4.770000076E1,3.790092468E0,2.994318485E0
1.041344379E2,1.687464372E1,7.362362703E1,1.749600606E2,3.950000048E0,5.340000153E1,3.790092468E0,2.882242203E0
