"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.718770397E1,1.686619188E1,7.355570143E1,1.454221510E2,1.060024282E1,5.014347458E1,4.752821311E0,3.351898956E0
8.818770289E1,1.686625242E1,7.355577727E1,1.462216144E2,1.052796572E1,5.052861786E1,4.753473779E0,3.350973600E0
8.918769562E1,1.686630415E1,7.355586221E1,1.464197420E2,1.046483439E1,5.865279770E1,4.752905340E0,3.351779805E0
9.018769205E1,1.686635371E1,7.355594550E1,1.465893762E2,1.050270740E1,5.824306107E1,4.758940624E0,3.343205224E0
9.118768764E1,1.686640435E1,7.355603050E1,1.462684193E2,1.055932215E1,5.835892868E1,4.760545896E0,3.340919007E0
9.218768454E1,1.686645169E1,7.355611029E1,1.456599132E2,1.031673861E1,5.835892868E1,4.762832665E0,3.337658167E0
9.318768144E1,1.686650433E1,7.355620400E1,1.456943847E2,1.061825226E1,6.122254944E1,4.754913496E0,3.348930379E0
9.418767738E1,1.686654966E1,7.355628816E1,1.455094494E2,1.047142129E1,5.989699554E1,4.754260681E0,3.349857073E0
9.518767440E1,1.686659342E1,7.355636704E1,1.460751479E2,1.025539562E1,6.109490585E1,4.750927280E0,3.354582986E0
9.618767142E1,1.686663906E1,7.355645289E1,1.466376019E2,1.019565370E1,6.109490585E1,4.750635068E0,3.354996794E0
9.718766868E1,1.686668430E1,7.355653617E1,1.470881461E2,1.015766905E1,6.057328796E1,4.753363205E0,3.351130447E0
9.818766487E1,1.686673111E1,7.355662237E1,1.463592418E2,1.027434095E1,6.057328796E1,4.745449719E0,3.362327170E0
9.918766224E1,1.686679510E1,7.355669335E1,1.461988379E2,1.049594279E1,4.965869141E1,4.748809963E0,3.357579629E0
1.001876627E2,1.686685401E1,7.355676595E1,1.466354825E2,1.047346588E1,5.050571060E1,4.749959892E0,3.355952630E0
1.011876575E2,1.686691390E1,7.355683206E1,1.477729722E2,1.028880115E1,4.293017578E1,4.756867279E0,3.346154617E0
1.021876533E2,1.686697601E1,7.355689183E1,1.480128089E2,9.857410130E0,4.266811371E1,4.748683298E0,3.357758771E0
1.031876508E2,1.686703705E1,7.355695026E1,1.481923645E2,9.849903553E0,4.266811371E1,4.752205768E0,3.352771596E0
1.041876519E2,1.686710238E1,7.355701280E1,1.483667481E2,1.001259719E1,4.266811371E1,4.751578708E0,3.353660212E0
1.051876459E2,1.686717153E1,7.355707413E1,1.481600220E2,1.014796914E1,3.873052597E1,4.752681097E0,3.352097764E0
1.061876440E2,1.686724250E1,7.355713324E1,1.487673815E2,1.007287302E1,3.873052597E1,4.750446036E0,3.355264444E0
1.071876415E2,1.686731284E1,7.355719478E1,1.483405547E2,1.014171531E1,3.969589615E1,4.749643509E0,3.356400389E0
1.081876419E2,1.686738128E1,7.355725598E1,1.479385374E2,9.940689036E0,4.227707672E1,4.753634605E0,3.350745450E0
1.091876396E2,1.686744725E1,7.355731828E1,1.488288714E2,9.799632137E0,4.227707672E1,4.756407006E0,3.346808843E0
1.101876339E2,1.686750446E1,7.355738869E1,1.495788069E2,9.475674371E0,5.209234238E1,4.752730646E0,3.352027511E0
1.111876317E2,1.686755934E1,7.355746188E1,1.497209436E2,9.552513523E0,5.209234238E1,4.756234961E0,3.347053335E0
1.121876295E2,1.686761009E1,7.355752956E1,1.505314586E2,9.421735486E0,5.209234238E1,4.762906224E0,3.337553196E0
1.131876267E2,1.686764259E1,7.355763020E1,1.512444605E2,9.536384125E0,6.313853073E1,4.760550997E0,3.340911738E0
1.141876272E2,1.686768013E1,7.355770639E1,1.511878138E2,9.441099999E0,6.285940933E1,4.773656243E0,3.322159404E0
1.151876256E2,1.686771553E1,7.355777810E1,1.517506465E2,9.236763103E0,6.285940933E1,4.772620284E0,3.323647493E0
1.161876210E2,1.686774532E1,7.355786784E1,1.522376380E2,9.239822750E0,7.052283478E1,4.781459378E0,3.310918792E0
1.171876183E2,1.686777253E1,7.355794775E1,1.525943044E2,9.160596397E0,7.052283478E1,4.778941623E0,3.314551854E0
1.181876158E2,1.686779898E1,7.355802543E1,1.527026774E2,8.997692534E0,7.052283478E1,4.771826577E0,3.324786933E0
1.191876169E2,1.686782479E1,7.355810121E1,1.528404551E2,8.895881589E0,7.052283478E1,4.764019852E0,3.335963411E0
1.201876116E2,1.686784797E1,7.355818054E1,1.534862102E2,8.814026270E0,7.491602325E1,4.774215428E0,3.321355759E0
1.211876099E2,1.686786707E1,7.355825226E1,1.534928967E2,8.746802190E0,7.424056244E1,4.765293496E0,3.334143808E0
1.221876080E2,1.686788842E1,7.355833398E1,1.530827553E2,9.069924243E0,7.828222656E1,4.762073485E0,3.338741253E0
1.231876048E2,1.686790326E1,7.355840830E1,1.530700172E2,8.923586760E0,7.828222656E1,4.774403481E0,3.321085431E0
1.241876032E2,1.686791926E1,7.355848866E1,1.540039621E2,8.908813871E0,7.853467560E1,4.772655081E0,3.323597525E0
1.251876010E2,1.686793796E1,7.355858445E1,1.533478926E2,9.701783349E0,7.853467560E1,4.752559484E0,3.352270184E0
1.261875987E2,1.686795491E1,7.355866726E1,1.540405957E2,9.557749935E0,7.818233490E1,4.749065062E0,3.357218800E0
1.271875973E2,1.686797385E1,7.355876129E1,1.537621837E2,9.817295802E0,7.818233490E1,4.749769279E0,3.356222404E0
1.281875948E2,1.686799304E1,7.355885653E1,1.540065254E2,9.786225515E0,7.818233490E1,4.755232089E0,3.348477985E0
1.291875933E2,1.686801116E1,7.355894897E1,1.539669360E2,9.789090222E0,7.875752258E1,4.762160098E0,3.338617712E0
1.301875912E2,1.686803030E1,7.355904611E1,1.535225424E2,9.873316829E0,7.836348724E1,4.750384963E0,3.355350911E0
1.311875895E2,1.686804876E1,7.355913920E1,1.534795344E2,9.871838281E0,7.836348724E1,4.746343750E0,3.361065015E0
1.321875867E2,1.686807870E1,7.355922099E1,1.533428245E2,9.677894303E0,7.167064667E1,4.743497627E0,3.365080577E0
1.331875852E2,1.686810652E1,7.355930822E1,1.530454929E2,9.549748376E0,7.245195770E1,4.744853814E0,3.363168048E0
1.341875825E2,1.686813241E1,7.355938835E1,1.527694879E2,9.308755248E0,6.883650970E1,4.742340095E0,3.366711668E0
1.351875856E2,1.686816151E1,7.355946643E1,1.527755528E2,8.898047641E0,6.883650970E1,4.745086814E0,3.362839301E0
1.361875037E2,1.686818949E1,7.355954150E1,1.524375392E2,8.311645259E0,6.883650970E1,4.742865775E0,3.365971074E0
1.371875118E2,1.686820956E1,7.355959533E1,1.522982276E2,6.728562017E0,6.883650970E1,4.748366312E0,3.358207021E0
1.381875201E2,1.686822190E1,7.355962843E1,1.521059883E2,4.922999003E0,6.883650970E1,4.759788147E0,3.341998479E0
1.391875284E2,1.686823728E1,7.355962726E1,1.521571708E2,4.301337785E0,4.864347839E1,4.764282343E0,3.335588523E0
1.401875366E2,1.686826176E1,7.355965520E1,1.527906307E2,4.440743558E0,4.898897552E1,7.801079439E0,3.344791605E0
