"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.179342468E0,1.060020447E0,7.128218651E0,6.343372822E0
5.200155456E0,1.043270707E0,7.097112179E0,6.319444656E0
5.220998962E0,1.021735311E0,7.140182972E0,6.324230194E0
5.241811950E0,1.040877819E0,7.176074982E0,6.307480335E0
5.262655456E0,1.093519926E0,7.197610378E0,6.293123722E0
5.283468444E0,1.138983607E0,7.159325123E0,6.257231236E0
5.304311950E0,1.150947690E0,7.101897717E0,6.290730953E0
5.325155456E0,1.115055323E0,7.063612461E0,6.388836384E0
5.345968444E0,1.143769264E0,7.063612461E0,6.388836384E0
5.366811950E0,1.103091240E0,7.030112743E0,6.431907177E0
5.387624938E0,1.079162955E0,6.970292568E0,6.503692150E0
5.408437927E0,1.007378340E0,6.984649181E0,6.515655994E0
5.429281433E0,9.690931439E-1,7.034898758E0,6.506084919E0
5.450124938E0,9.140582681E-1,7.061219692E0,6.501298904E0
5.470937927E0,8.566305041E-1,7.099504948E0,6.470192432E0
5.491750915E0,8.135597110E-1,7.161718369E0,6.436692715E0
5.512594421E0,8.039883971E-1,7.173682213E0,6.465406895E0
5.533407409E0,7.465606928E-1,7.209574699E0,6.441478729E0
5.554220397E0,7.489534616E-1,7.238288403E0,6.422336102E0
5.575063903E0,7.704889178E-1,7.168896675E0,6.467799664E0
5.595876892E0,8.159525394E-1,7.130611420E0,6.439085960E0
5.616720397E0,8.685946465E-1,7.109076023E0,6.369693756E0
5.637533386E0,8.973084688E-1,7.094718933E0,6.410371780E0
5.658346374E0,9.523434043E-1,7.101897717E0,6.410371780E0
5.679189880E0,9.762716293E-1,7.113861561E0,6.362515450E0
5.700033386E0,1.007378340E0,7.082755089E0,6.362515450E0
5.720846374E0,9.834501147E-1,7.113861561E0,6.360122681E0
5.741689880E0,9.954141974E-1,7.116254330E0,6.355337143E0
5.762502868E0,1.026520967E0,7.104290485E0,6.374479294E0
5.783315856E0,9.954141974E-1,7.135396957E0,6.355337143E0
5.804159362E0,1.040877819E0,7.152146816E0,6.362515450E0
5.824972351E0,1.004985452E0,7.111468792E0,6.407979012E0
5.845815856E0,1.057627559E0,7.109076023E0,6.372086525E0
5.866659362E0,1.057627559E0,7.130611420E0,6.379265308E0
5.887472351E0,1.095912814E0,7.101897717E0,6.398407936E0
5.908315856E0,1.086341500E0,7.070790768E0,6.376872540E0
5.929159362E0,1.107876897E0,7.049255371E0,6.388836384E0
5.950002868E0,1.115055323E0,7.046862602E0,6.424728870E0
5.970846374E0,1.136590719E0,7.056434155E0,6.396014690E0
5.991633200E0,1.165304661E0,7.058826923E0,6.393621922E0
6.012476706E0,1.160519004E0,7.058826923E0,6.381658077E0
6.033289694E0,1.136590719E0,7.085147858E0,6.364908218E0
6.054102683E0,1.033699393E0,7.106683254E0,6.379265308E0
6.074946189E0,1.019342422E0,7.054041386E0,6.439085960E0
6.095759177E0,1.012163997E0,7.092326164E0,6.415157318E0
6.116602683E0,1.062413216E0,7.140182972E0,6.388836384E0
6.137415671E0,1.105484009E0,7.159325123E0,6.357729912E0
6.158228659E0,1.138983607E0,7.123433113E0,6.360122681E0
6.179072165E0,1.127019525E0,7.128218651E0,6.324230194E0
6.199885153E0,1.074377418E0,7.116254330E0,6.331408501E0
6.220728659E0,1.016949654E0,7.101897717E0,6.398407936E0
6.241541648E0,9.786644578E-1,7.111468792E0,6.419943333E0
6.262385153E0,9.451649189E-1,7.149754047E0,6.439085960E0
