"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.034993247E0,8.524430543E-2,1.903490424E0,9.171390533E0
3.054709966E0,-2.362912335E-2,1.474576950E0,1.085324574E1
3.074414185E0,-2.679961324E-1,7.211369276E-1,1.219232845E1
3.094139445E0,-4.489533603E-1,4.097708687E-2,1.204128170E1
3.113833507E0,-4.513461590E-1,-2.730808854E-1,1.062802124E1
3.133527622E0,-2.177468538E-1,-1.543370634E-1,9.530911446E0
3.153231060E0,1.441675574E-1,1.965105534E-1,9.030213356E0
3.172930747E0,6.098706722E-1,7.402794957E-1,8.989535332E0
3.192634185E0,1.043569803E0,1.303191066E0,9.757033348E0
3.212374132E0,1.105783105E0,1.563111424E0,1.023141098E1
3.232047049E0,1.028016448E0,1.674676776E0,1.017876816E1
3.251763455E0,8.279166222E-1,1.758425593E0,9.571589470E0
3.271460851E0,3.260220885E-1,1.729711652E0,8.437092781E0
3.291169810E0,1.489532143E-1,1.932204247E0,7.547261715E0
3.310868664E0,1.405783296E-1,2.036292076E0,7.179664135E0
3.330573091E0,-1.025922745E-1,2.024327993E0,7.560422421E0
3.350285382E0,-2.596212626E-1,1.890329838E0,8.995517731E0
3.369977830E0,-2.392822653E-1,1.744068623E0,1.078833961E1
3.389693195E0,-6.909275055E-2,1.526022673E0,1.238495064E1
3.409390487E0,1.680957973E-1,1.196710467E0,1.257188988E1
3.429099757E0,3.702892959E-1,8.291130662E-1,1.166770267E1
3.448811737E0,6.182455420E-1,6.290132403E-1,1.042193890E1
3.468523924E0,1.140479088E0,6.098706722E-1,9.516554832E0
3.488217205E0,1.431506157E0,8.183453679E-1,9.179764748E0
3.507919601E0,1.540678620E0,1.136889815E0,9.093623161E0
3.527627205E0,1.445863128E0,1.492523074E0,9.188139915E0
3.547335278E0,9.068797827E-1,1.861316919E0,1.053679466E1
3.567039810E0,4.543372095E-1,1.999203324E0,1.150229836E1
3.586740539E0,-6.789634377E-2,1.801496387E0,1.147717381E1
3.606444757E0,-3.816552162E-1,1.485344648E0,1.038126087E1
3.626146060E0,-4.585246444E-1,1.091426253E0,8.723632812E0
3.645849497E0,-2.512463629E-1,9.320043921E-1,7.743772507E0
3.665556893E0,3.595215976E-1,1.010967612E0,7.420442104E0
3.685258455E0,7.561319470E-1,1.188335538E0,8.221738815E0
3.704950747E0,1.118943691E0,1.389631748E0,9.780064583E0
3.724684132E0,1.359721422E0,1.419542074E0,1.095015430E1
3.744387726E0,1.026820064E0,1.288834095E0,1.101356411E1
3.764080799E0,6.481558084E-1,1.262513041E0,1.014287567E1
3.783792101E0,5.404788256E-1,1.342971683E0,9.352347374E0
3.803491580E0,5.835496187E-1,1.520040631E0,9.479166985E0
3.823181060E0,5.644070506E-1,1.396810174E0,9.959526062E0
3.842920591E0,3.212364316E-1,1.008574724E0,9.372686386E0
3.862605539E0,3.224328458E-1,9.176474810E-1,9.274580956E0
3.882321007E0,3.367897868E-1,9.786644578E-1,9.876974106E0
3.902053924E0,4.842474759E-1,1.135693431E0,9.930811882E0
3.921703768E0,6.146563292E-1,1.425524116E0,9.600303650E0
3.941434185E0,6.939185858E-1,1.703390598E0,9.336793900E0
3.961164393E0,6.026921868E-1,1.998006940E0,9.651749611E0
3.980852153E0,4.148556292E-1,2.039881229E0,1.020867825E1
4.000545018E0,1.609173268E-1,1.862513304E0,1.020628548E1
4.020251632E0,1.175474152E-1,1.663909078E0,9.796813965E0
4.039956268E0,2.691925503E-3,1.380060434E0,9.522537231E0
4.059653247E0,3.200400174E-1,1.233799219E0,9.826724052E0
4.079358612E0,6.541379094E-1,1.105783105E0,1.030080223E1
4.099098664E0,6.891329288E-1,8.997012973E-1,1.076800060E1
4.118773247E0,8.733802438E-1,7.582256794E-1,1.081825066E1
4.138506060E0,8.195417523E-1,6.361917257E-1,1.016201878E1
4.158171737E0,5.021936297E-1,6.278168559E-1,9.371489525E0
4.177895903E0,5.775675774E-1,9.200403094E-1,9.042177200E0
4.197604601E0,7.058826685E-1,1.305583835E0,8.900702477E0
4.217301372E0,1.016052365E0,1.673480392E0,9.212067604E0
4.237000643E0,1.114158034E0,1.741675735E0,9.670891762E0
4.256719862E0,8.494520187E-1,1.594218135E0,9.633803368E0
4.276445591E0,7.429714203E-1,1.515254974E0,1.011416245E1
4.296126216E0,7.094719410E-1,1.342971683E0,1.034177971E1
4.315823820E0,6.314060688E-1,1.154836059E0,1.015484047E1
4.335531320E0,4.902295470E-1,9.966106415E-1,9.679266930E0
4.355228455E0,2.961117923E-1,9.332008362E-1,8.529515266E0
4.374947726E0,1.369891018E-1,1.284048438E0,8.134101868E0
4.394645695E0,1.055833027E-1,1.628016710E0,8.619246483E0
4.414347310E0,2.805584669E-1,1.834995866E0,9.437292099E0
4.434059810E0,4.064807594E-1,1.892722726E0,1.049611664E1
4.453754966E0,4.028915167E-1,1.819442511E0,1.075842953E1
4.473475174E0,4.447658956E-1,1.842174292E0,1.083739281E1
4.493182674E0,2.925225794E-1,1.776371717E0,1.129143143E1
4.512877205E0,1.019940674E-1,1.384846091E0,1.121486092E1
4.532577882E0,-3.200400248E-2,9.212366939E-1,1.049491978E1
4.552294393E0,-2.321037948E-1,6.326025128E-1,9.897313118E0
4.571991164E0,-2.602194622E-2,5.895316601E-1,9.713962555E0
