"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.962736778E1,1.687422321E1,7.363233608E1,2.509739528E2,6.500000000E0,1.378999939E2,3.790092468E0,2.500000000E0
8.062588216E1,1.687417471E1,7.363238039E1,2.510101400E2,6.699999809E0,1.398000031E2,3.790092468E0,2.500000000E0
8.162600288E1,1.687412340E1,7.363241964E1,2.511817706E2,7.000000000E0,1.415000000E2,3.790092468E0,2.500000000E0
8.262698934E1,1.687407171E1,7.363246000E1,2.514852999E2,7.429999828E0,1.433000031E2,3.790092468E0,2.500000000E0
8.362804075E1,1.687401414E1,7.363250089E1,2.512529595E2,7.800000191E0,1.451999969E2,3.790092468E0,2.500000000E0
8.462852236E1,1.687395168E1,7.363254587E1,2.510297310E2,8.109999657E0,1.463999939E2,3.790092468E0,2.500000000E0
8.562810445E1,1.687388723E1,7.363258799E1,2.511354258E2,8.750000000E0,1.476000061E2,3.790092468E0,2.500000000E0
8.662858502E1,1.687382008E1,7.363263534E1,2.510511904E2,9.260000229E0,1.458000031E2,3.790092468E0,2.500000000E0
8.762794439E1,1.687374698E1,7.363268880E1,2.510300264E2,9.789999962E0,1.440000000E2,3.790092468E0,2.500000000E0
8.862702887E1,1.687367440E1,7.363274465E1,2.511301997E2,9.840000153E0,1.428000031E2,3.790092468E0,2.500000000E0
8.962695080E1,1.687360931E1,7.363279739E1,2.513219615E2,9.539999962E0,1.378999939E2,3.790092468E0,2.500000000E0
9.062791569E1,1.687355093E1,7.363285399E1,2.512482009E2,9.029999733E0,1.323000031E2,3.790092468E0,2.500000000E0
9.162706496E1,1.687349721E1,7.363291207E1,2.512579224E2,8.539999962E0,1.260999985E2,3.790092468E0,2.500000000E0
9.262735064E1,1.687345586E1,7.363298217E1,2.520569782E2,8.270000458E0,1.184000015E2,3.790092468E0,2.500000000E0
9.362763627E1,1.687342500E1,7.363305306E1,2.521185133E2,8.170000076E0,1.060999985E2,3.790092468E0,2.500000000E0
9.462793236E1,1.687340945E1,7.363312707E1,2.522839442E2,8.189999580E0,9.669999695E1,3.790092468E0,2.500000000E0
9.562718882E1,1.687339508E1,7.363320748E1,2.520821260E2,8.289999962E0,9.250000000E1,3.790092468E0,2.500000000E0
9.662747382E1,1.687338336E1,7.363328640E1,2.525195809E2,8.430000305E0,9.430000305E1,3.790092468E0,2.500000000E0
9.762722012E1,1.687336481E1,7.363336599E1,2.531360739E2,8.319999695E0,9.750000000E1,3.790092468E0,2.500000000E0
9.862744621E1,1.687334348E1,7.363344031E1,2.539235326E2,8.250000000E0,9.950000000E1,3.790092468E0,2.500000000E0
9.962630501E1,1.687331962E1,7.363351441E1,2.537142951E2,8.340000153E0,1.011999969E2,3.790092468E0,2.500000000E0
1.006258818E2,1.687329913E1,7.363359081E1,2.537571233E2,8.529999733E0,1.003000031E2,3.790092468E0,2.500000000E0
1.016253474E2,1.687328168E1,7.363366720E1,2.536881864E2,8.649999619E0,9.680000305E1,3.790092468E0,2.500000000E0
1.026276897E2,1.687326467E1,7.363374636E1,2.545385000E2,8.800000191E0,9.500000000E1,3.790092468E0,2.500000000E0
1.036277367E2,1.687325109E1,7.363382732E1,2.550618993E2,8.779999733E0,9.590000153E1,3.790092468E0,2.500000000E0
1.046281237E2,1.687323090E1,7.363391066E1,2.556860898E2,8.760000229E0,9.690000153E1,3.790092468E0,2.500000000E0
1.056280406E2,1.687320870E1,7.363398728E1,2.562632863E2,8.649999619E0,9.990000153E1,3.790092468E0,2.500000000E0
1.066285461E2,1.687318468E1,7.363406418E1,2.563852275E2,8.670000076E0,1.050999985E2,3.790092468E0,2.500000000E0
1.076264675E2,1.687315365E1,7.363414477E1,2.561595366E2,8.899999619E0,1.119000015E2,3.790092468E0,2.500000000E0
1.086276191E2,1.687311563E1,7.363422278E1,2.561148969E2,9.180000305E0,1.168000031E2,3.790092468E0,2.500000000E0
1.096278747E2,1.687307011E1,7.363429756E1,2.562073643E2,9.489999771E0,1.225999985E2,3.790092468E0,2.500000000E0
1.106278899E2,1.687301834E1,7.363436612E1,2.558924999E2,9.439999580E0,1.238000031E2,3.790092468E0,2.500000000E0
1.116272649E2,1.687296733E1,7.363443619E1,2.553200044E2,9.399999619E0,1.253000031E2,3.790092468E0,2.500000000E0
1.126265147E2,1.687291500E1,7.363450274E1,2.551928849E2,9.020000458E0,1.255000000E2,3.790092468E0,2.500000000E0
1.136278225E2,1.687287290E1,7.363456762E1,2.550552950E2,8.460000038E0,1.200000000E2,3.790092468E0,2.500000000E0
1.146285715E2,1.687284386E1,7.363463562E1,2.543233659E2,7.940000057E0,1.140000000E2,3.790092468E0,2.500000000E0
1.156271699E2,1.687281214E1,7.363470078E1,2.539334848E2,7.599999905E0,1.080000000E2,3.790092468E0,2.500000000E0
1.166276004E2,1.687278483E1,7.363477688E1,2.537788248E2,8.199999809E0,1.043000031E2,3.790092468E0,2.500000000E0
1.176280443E2,1.687276226E1,7.363485174E1,2.529890172E2,8.789999962E0,1.020000000E2,3.790092468E0,2.500000000E0
1.186290059E2,1.687273908E1,7.363493321E1,2.522434653E2,8.880000114E0,1.005999985E2,3.790092468E0,2.500000000E0
1.196273854E2,1.687271347E1,7.363501123E1,2.515445503E2,8.260000229E0,1.048000031E2,3.790092468E0,2.500000000E0
1.206262282E2,1.687267876E1,7.363508106E1,2.508634824E2,8.180000305E0,1.118000031E2,3.790092468E0,2.500000000E0
1.216262353E2,1.687263542E1,7.363515157E1,2.496216512E2,8.779999733E0,1.181999969E2,3.790092468E0,2.500000000E0
1.226278009E2,1.687258095E1,7.363521931E1,2.484050616E2,9.449999809E0,1.231999969E2,3.790092468E0,2.500000000E0
1.236262777E2,1.687251910E1,7.363528734E1,2.474915961E2,1.006000042E1,1.260000000E2,3.790092468E0,2.500000000E0
1.246274008E2,1.687245247E1,7.363535519E1,2.466167811E2,1.001000023E1,1.293000031E2,3.790092468E0,2.500000000E0
