x_acc,y_acc,z_acc,Latitude,Longitude,accTime
-1.3746765851974487,9.072985649108887,-0.6391827464103699,16.8299159,73.5198127,2024-03-29 11:26:46:703
-1.3387842178344727,9.11874771118164,-0.6391827464103699,16.8299159,73.5198127,2024-03-29 11:26:46:723
-1.3483555316925049,9.130712509155273,-0.6320042610168457,16.8299159,73.5198127,2024-03-29 11:26:46:742
-1.3674981594085693,9.137890815734863,-0.6080760359764099,16.8299159,73.5198127,2024-03-29 11:26:46:762
-1.3722838163375854,9.137890815734863,-0.5817549824714661,16.8299159,73.5198127,2024-03-29 11:26:46:781
-1.3435698747634888,9.16421127319336,-0.6200401782989502,16.8299159,73.5198127,2024-03-29 11:26:46:802
-1.3627125024795532,9.159425735473633,-0.6272186636924744,16.8299159,73.5198127,2024-03-29 11:26:46:821
-1.412961721420288,9.140283584594727,-0.5745765566825867,16.8299159,73.5198127,2024-03-29 11:26:46:842
-1.3818551301956177,9.11874771118164,-0.610468864440918,16.8299159,73.5198127,2024-03-29 11:26:46:864
-1.3674981594085693,9.12592601776123,-0.6200401782989502,16.8299159,73.5198127,2024-03-29 11:26:46:881
-1.3722838163375854,9.14985466003418,-0.6056832075119019,16.8299159,73.5198127,2024-03-29 11:26:46:901
-1.3818551301956177,9.140283584594727,-0.5841478109359741,16.8299159,73.5198127,2024-03-29 11:26:46:920
-1.3603196144104004,9.123533248901367,-0.6032904386520386,16.8299159,73.5198127,2024-03-29 11:26:46:939
-1.32921302318573,9.121140480041504,-0.6511468887329102,16.8299159,73.5198127,2024-03-29 11:26:46:959
-1.3770694732666016,9.092127799987793,-0.5769693851470947,16.8299159,73.5198127,2024-03-29 11:26:46:983
-1.3651052713394165,9.05862808227539,-0.5530411601066589,16.8299159,73.5198127,2024-03-29 11:26:47:000
-1.262213945388794,9.133105278015137,-0.6272186636924744,16.8299159,73.5198127,2024-03-29 11:26:47:019
-1.333998680114746,9.233603477478027,-0.579362154006958,16.8299159,73.5198127,2024-03-29 11:26:47:039
-1.420140266418457,9.238389015197754,-0.6152545213699341,16.8299159,73.5198127,2024-03-29 11:26:47:058
-1.4057832956314087,9.200103759765625,-0.6945167779922485,16.8299159,73.5198127,2024-03-29 11:26:47:077
-1.4321043491363525,9.140283584594727,-0.6777670383453369,16.8299159,73.5198127,2024-03-29 11:26:47:099
-1.4177473783493042,9.104391098022461,-0.6658028960227966,16.8299159,73.5198127,2024-03-29 11:26:47:118
-1.4249259233474731,9.07537841796875,-0.6176473498344421,16.8299159,73.5198127,2024-03-29 11:26:47:142
-1.389033555984497,9.077771186828613,-0.5889334678649902,16.8299159,73.5198127,2024-03-29 11:26:47:156
-1.3411771059036255,9.092127799987793,-0.6367899179458618,16.8299159,73.5198127,2024-03-29 11:26:47:185
-1.3770694732666016,9.137890815734863,-0.6511468887329102,16.8299159,73.5198127,2024-03-29 11:26:47:275
-1.3770694732666016,9.140283584594727,-0.6873382925987244,16.8299159,73.5198127,2024-03-29 11:26:47:286
-1.3794622421264648,9.130712509155273,-0.6801598072052002,16.8299159,73.5198127,2024-03-29 11:26:47:294
-1.4033905267715454,9.116354942321777,-0.6658028960227966,16.8299159,73.5198127,2024-03-29 11:26:47:303
-1.4297115802764893,9.133105278015137,-0.6391827464103699,16.8299159,73.5198127,2024-03-29 11:26:47:313
-1.4297115802764893,9.140283584594727,-0.6176473498344421,16.8299159,73.5198127,2024-03-29 11:26:47:324
-1.3770694732666016,9.16421127319336,-0.5841478109359741,16.8299159,73.5198127,2024-03-29 11:26:47:332
-1.32921302318573,9.271888732910156,-0.5650052428245544,16.8299159,73.5198127,2024-03-29 11:26:47:342
-1.4656038284301758,9.16421127319336,-0.5315057039260864,16.8299159,73.5198127,2024-03-29 11:26:47:351
-1.3244273662567139,8.886344909667969,-0.610468864440918,16.8299159,73.5198127,2024-03-29 11:26:47:361
-1.1374880075454712,9.068199157714844,-0.6801598072052002,16.8299159,73.5198127,2024-03-29 11:26:47:372
-1.3674981594085693,9.401400566101074,-0.4621138870716095,16.8299159,73.5198127,2024-03-29 11:26:47:381
-1.5089738368988037,9.226425170898438,-0.5099703073501587,16.8299159,73.5198127,2024-03-29 11:26:47:404
-1.4273186922073364,8.912666320800781,-0.6559324860572815,16.8299159,73.5198127,2024-03-29 11:26:47:404
-1.290927767753601,9.044271469116211,-0.5458626747131348,16.8299159,73.5198127,2024-03-29 11:26:47:411
-1.2454642057418823,9.240781784057617,-0.5937191247940063,16.8299159,73.5198127,2024-03-29 11:26:47:421
-1.389033555984497,9.264710426330566,-0.612861692905426,16.8299159,73.5198127,2024-03-29 11:26:47:430
-1.4656038284301758,9.133105278015137,-0.6320042610168457,16.8299159,73.5198127,2024-03-29 11:26:47:440
-1.4033905267715454,9.039485931396484,-0.4860421121120453,16.8299159,73.5198127,2024-03-29 11:26:47:453
-1.1877373456954956,9.145069122314453,-0.7447660565376282,16.8299159,73.5198127,2024-03-29 11:26:47:460
-1.2574282884597778,9.178568840026855,-0.7615157961845398,16.8299159,73.5198127,2024-03-29 11:26:47:470
-1.597508192062378,9.068199157714844,-0.579362154006958,16.8299159,73.5198127,2024-03-29 11:26:47:480
-1.5137593746185303,9.070592880249023,-0.4692923426628113,16.8299159,73.5198127,2024-03-29 11:26:47:492
-1.1159526109695435,9.154640197753906,-0.7208378314971924,16.8299159,73.5198127,2024-03-29 11:26:47:502
-1.1422736644744873,9.214461326599121,-0.7519445419311523,16.8299159,73.5198127,2024-03-29 11:26:47:508
-1.5448660850524902,9.11156940460205,-0.5434698462486267,16.8299159,73.5198127,2024-03-29 11:26:47:519
-1.5233306884765625,9.022735595703125,-0.5027918815612793,16.8299159,73.5198127,2024-03-29 11:26:47:529
-1.3148560523986816,9.053842544555664,-0.6705885529518127,16.8299159,73.5198127,2024-03-29 11:26:47:538
-1.2598211765289307,9.123533248901367,-0.6056832075119019,16.8299159,73.5198127,2024-03-29 11:26:47:548
-1.3411771059036255,9.207282066345215,-0.643968403339386,16.8299159,73.5198127,2024-03-29 11:26:47:558
-1.4105689525604248,9.183354377746582,-0.5650052428245544,16.8299159,73.5198127,2024-03-29 11:26:47:569
-1.3722838163375854,9.159425735473633,-0.5291129350662231,16.8299159,73.5198127,2024-03-29 11:26:47:578
-1.2861422300338745,9.212067604064941,-0.6224330067634583,16.8299159,73.5198127,2024-03-29 11:26:47:591
-1.357926845550537,9.192925453186035,-0.6367899179458618,16.8299159,73.5198127,2024-03-29 11:26:47:599
-1.5065809488296509,9.116354942321777,-0.5530411601066589,16.8299159,73.5198127,2024-03-29 11:26:47:609
-1.4922239780426025,9.092127799987793,-0.5554339289665222,16.8299159,73.5198127,2024-03-29 11:26:47:619
