"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.760888062E2,1.651047617E-1,1.128215885E1,6.575476646E0
7.761096497E2,1.483550072E0,5.728417397E0,1.368694544E0
7.761304932E2,-5.790630579E-1,8.635697365E0,-1.076770186E0
7.761513367E2,1.170090318E0,4.618147850E0,-2.096112728E0
7.761721802E2,-6.915257573E-1,7.262216568E0,-3.670589924E0
7.761930237E2,4.857429862E-1,6.862615108E0,3.684946775E0
7.762138978E2,6.939185858E-1,8.240880966E0,1.011924744E1
7.762347413E2,1.423729420E0,1.077248764E1,1.490728474E1
7.762555848E2,7.226324677E-1,8.389236450E0,1.194018459E1
7.762764283E2,2.943171859E-1,1.061216831E1,8.709874153E0
7.762972718E2,1.201196909E0,5.216353416E0,2.658426046E0
7.763181458E2,-4.929214716E-1,7.496713161E0,-3.775874138E0
7.763389893E2,1.529013634E0,4.666004181E0,-3.603590965E0
7.763598328E2,-6.053841114E-1,5.883950710E0,-7.393822074E-1
7.763806763E2,1.679761529E0,6.278766632E0,4.474578381E0
7.764015198E2,9.643075466E-1,6.714260101E0,6.463014126E0
7.764223633E2,4.211367965E-1,1.060020447E1,1.125105190E1
7.764432068E2,7.680960894E-1,6.678368092E0,1.092084217E1
7.764640809E2,-5.742774159E-2,1.038006496E1,9.477970123E0
7.764849244E2,1.363908887E0,5.501099110E0,3.739981890E0
7.765057679E2,-1.579262912E-1,7.862815380E0,-1.598405480E0
7.765266419E2,1.490728498E0,3.790230989E0,-4.505684853E0
7.765474854E2,-1.603191197E-1,6.128018856E0,-4.551148891E0
7.765683289E2,1.330409408E0,5.917450428E0,-5.168496966E-1
7.765891724E2,-1.052841991E-1,7.278966427E0,7.556533813E0
7.766100464E2,2.041077614E0,1.155254745E1,1.840798378E1
7.766308899E2,5.694918036E-1,8.015955925E0,1.684786415E1
7.766517334E2,-2.751746178E-1,1.148794174E1,1.061216831E1
7.766725770E2,1.002592683E0,5.773880959E0,3.330809116E0
7.766934510E2,-1.313659668E0,8.487341881E0,6.628118753E-1
7.767142945E2,1.828116536E0,4.216153622E0,-3.125026464E0
7.767351380E2,-4.235295951E-1,5.331208706E0,-3.893122435E0
7.767559815E2,1.210768223E0,6.116054535E0,1.605584025E0
7.767768555E2,1.100698411E-1,6.573083878E0,5.685346603E0
7.767976990E2,1.083948612E0,1.007856941E1,1.252164078E1
7.768185425E2,5.742774159E-2,7.592426300E0,9.994820595E0
7.768393860E2,3.206382394E-1,1.067677498E1,9.841679573E0
7.768602601E2,2.227717876E0,5.771488190E0,4.118047714E0
7.768811036E2,-6.364908218E-1,8.106883049E0,1.660618901E0
7.769019471E2,1.823330879E0,7.058826923E0,3.218346357E0
7.769228211E2,-4.259224236E-1,6.738188744E0,3.634697676E0
7.769436646E2,9.332008362E-1,9.695717812E0,9.324830055E0
7.769645081E2,1.433300734E0,7.427321434E0,9.710074425E0
7.769853516E2,4.235295951E-1,1.079880905E1,9.827322960E0
7.770062256E2,2.167897224E0,7.436892986E0,5.347958565E0
